,Name,Year,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Zipcode
88,ZCTA5 77020,2016,26896.0,25908.0,32.9,14065.0,9046.0,77020
89,ZCTA5 77021,2016,32404.0,26374.0,33.8,20443.0,7644.0,77021
90,ZCTA5 77023,2016,35723.0,27973.0,33.4,18153.0,7748.0,77023
91,ZCTA5 77025,2016,67548.0,28103.0,36.1,54687.0,2623.0,77025
92,ZCTA5 77026,2016,25354.0,23030.0,35.9,12996.0,8636.0,77026
93,ZCTA5 77027,2016,88471.0,15498.0,35.1,88520.0,1154.0,77027
94,ZCTA5 77030,2016,73689.0,10735.0,32.7,62010.0,1439.0,77030
95,ZCTA5 77002,2017,72306.0,12370.0,34.1,34779.0,864.0,77002
96,ZCTA5 77003,2017,59575.0,9646.0,34.1,37760.0,2665.0,77003
97,ZCTA5 77004,2017,48592.0,37642.0,28.3,31067.0,7428.0,77004
98,ZCTA5 77005,2017,180758.0,28233.0,36.5,100896.0,1049.0,77005
99,ZCTA5 77006,2017,82878.0,21945.0,34.3,68705.0,1603.0,77006
100,ZCTA5 77007,2017,121458.0,35822.0,33.8,85419.0,2156.0,77007
101,ZCTA5 77008,2017,97690.0,34491.0,34.9,65444.0,2053.0,77008
102,ZCTA5 77009,2017,49383.0,37751.0,35.1,33167.0,9148.0,77009
103,ZCTA5 77010,2017,250001.0,915.0,44.6,196722.0,61.0,77010
104,ZCTA5 77011,2017,30665.0,18598.0,34.0,13551.0,6352.0,77011
105,ZCTA5 77012,2017,36537.0,20085.0,33.0,14721.0,4827.0,77012
106,ZCTA5 77019,2017,112243.0,21572.0,39.4,96256.0,2138.0,77019
107,ZCTA5 77020,2017,27587.0,25898.0,33.0,14646.0,7899.0,77020
108,ZCTA5 77021,2017,35126.0,26654.0,33.6,21531.0,7643.0,77021
109,ZCTA5 77023,2017,37462.0,28528.0,33.2,18438.0,7520.0,77023
110,ZCTA5 77025,2017,71990.0,28922.0,36.3,58892.0,2729.0,77025
111,ZCTA5 77026,2017,26644.0,22799.0,35.2,14026.0,8791.0,77026
112,ZCTA5 77027,2017,91296.0,16012.0,33.3,89183.0,1123.0,77027
113,ZCTA5 77030,2017,75290.0,10813.0,33.9,63823.0,1699.0,77030
