,Name,Year,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Count Hisp/Latino,Counb Black/AfAm,Count AmIndian,Count Asian,Count White,Count Other Race,Zipcode
64,ZCTA5 77009,2015,43830.0,39260.0,34.1,27669.0,10353.0,25707.0,2995.0,52.0,366.0,9705.0,32.0,77009
65,ZCTA5 77010,2015,250001.0,809.0,42.7,181821.0,97.0,80.0,24.0,0.0,85.0,620.0,0.0,77010
66,ZCTA5 77011,2015,26922.0,19303.0,33.0,12052.0,6655.0,18181.0,288.0,8.0,19.0,762.0,45.0,77011
67,ZCTA5 77012,2015,34891.0,20494.0,32.3,14606.0,5193.0,19117.0,666.0,4.0,194.0,504.0,0.0,77012
68,ZCTA5 77019,2015,101297.0,20644.0,38.8,89050.0,1958.0,2787.0,1868.0,0.0,1321.0,14579.0,18.0,77019
69,ZCTA5 77020,2015,27052.0,26005.0,32.4,14361.0,9323.0,18311.0,6213.0,43.0,178.0,1109.0,52.0,77020
70,ZCTA5 77021,2015,32800.0,26209.0,33.8,20908.0,7624.0,4566.0,18944.0,52.0,672.0,1702.0,10.0,77021
71,ZCTA5 77023,2015,36065.0,28316.0,33.4,17652.0,7847.0,24545.0,773.0,33.0,308.0,2622.0,0.0,77023
72,ZCTA5 77025,2015,66559.0,28305.0,35.2,52829.0,2794.0,4833.0,3845.0,12.0,4346.0,14678.0,18.0,77025
73,ZCTA5 77026,2015,22242.0,22485.0,35.3,12222.0,9170.0,9306.0,12580.0,5.0,15.0,423.0,7.0,77026
74,ZCTA5 77027,2015,89276.0,15749.0,36.8,90319.0,939.0,2463.0,676.0,15.0,1138.0,11193.0,15.0,77027
75,ZCTA5 77030,2015,71883.0,10279.0,32.6,61458.0,1330.0,933.0,487.0,0.0,2631.0,5965.0,34.0,77030
76,ZCTA5 77002,2016,68229.0,11861.0,33.9,34805.0,899.0,3478.0,3859.0,21.0,294.0,4046.0,11.0,77002
77,ZCTA5 77003,2016,46267.0,10097.0,33.0,32771.0,3246.0,5441.0,1843.0,0.0,531.0,2079.0,5.0,77003
78,ZCTA5 77004,2016,50681.0,36879.0,28.3,32140.0,6639.0,5127.0,17861.0,0.0,3177.0,9912.0,276.0,77004
79,ZCTA5 77005,2016,174153.0,27707.0,37.5,98397.0,883.0,2181.0,1294.0,0.0,3175.0,20437.0,60.0,77005
80,ZCTA5 77006,2016,80908.0,21849.0,34.9,66494.0,2055.0,3079.0,1085.0,34.0,1462.0,15667.0,52.0,77006
81,ZCTA5 77007,2016,113361.0,35185.0,33.6,77957.0,3156.0,7918.0,1585.0,213.0,2600.0,21766.0,200.0,77007
82,ZCTA5 77008,2016,88248.0,32588.0,35.5,60908.0,2299.0,9044.0,883.0,15.0,1627.0,20440.0,26.0,77008
83,ZCTA5 77009,2016,47011.0,38019.0,34.5,30474.0,9905.0,24296.0,2665.0,57.0,428.0,10071.0,66.0,77009
84,ZCTA5 77010,2016,250001.0,831.0,48.5,199424.0,70.0,27.0,34.0,0.0,77.0,693.0,0.0,77010
85,ZCTA5 77011,2016,29544.0,18558.0,32.9,13328.0,6154.0,17624.0,205.0,8.0,30.0,647.0,44.0,77011
86,ZCTA5 77012,2016,34617.0,20534.0,32.0,14147.0,5340.0,19505.0,370.0,3.0,232.0,416.0,0.0,77012
87,ZCTA5 77019,2016,102521.0,21067.0,38.4,92084.0,2169.0,2600.0,1826.0,12.0,1590.0,14862.0,17.0,77019
88,ZCTA5 77020,2016,26896.0,25908.0,32.9,14065.0,9046.0,18475.0,6080.0,78.0,99.0,992.0,47.0,77020
89,ZCTA5 77021,2016,32404.0,26374.0,33.8,20443.0,7644.0,4497.0,18764.0,63.0,741.0,2027.0,35.0,77021
90,ZCTA5 77023,2016,35723.0,27973.0,33.4,18153.0,7748.0,24212.0,819.0,26.0,188.0,2684.0,0.0,77023
91,ZCTA5 77025,2016,67548.0,28103.0,36.1,54687.0,2623.0,5096.0,3114.0,0.0,5004.0,14251.0,17.0,77025
92,ZCTA5 77026,2016,25354.0,23030.0,35.9,12996.0,8636.0,9817.0,12613.0,5.0,6.0,446.0,6.0,77026
93,ZCTA5 77027,2016,88471.0,15498.0,35.1,88520.0,1154.0,2313.0,478.0,15.0,1229.0,11185.0,21.0,77027
94,ZCTA5 77030,2016,73689.0,10735.0,32.7,62010.0,1439.0,984.0,457.0,0.0,2688.0,6260.0,31.0,77030
95,ZCTA5 77002,2017,72306.0,12370.0,34.1,34779.0,864.0,3276.0,4099.0,22.0,235.0,4457.0,86.0,77002
96,ZCTA5 77003,2017,59575.0,9646.0,34.1,37760.0,2665.0,4834.0,2254.0,0.0,507.0,1807.0,7.0,77003
97,ZCTA5 77004,2017,48592.0,37642.0,28.3,31067.0,7428.0,5390.0,17829.0,8.0,3337.0,10015.0,343.0,77004
98,ZCTA5 77005,2017,180758.0,28233.0,36.5,100896.0,1049.0,2483.0,1309.0,0.0,3544.0,20165.0,94.0,77005
99,ZCTA5 77006,2017,82878.0,21945.0,34.3,68705.0,1603.0,3118.0,1179.0,24.0,1548.0,15541.0,52.0,77006
100,ZCTA5 77007,2017,121458.0,35822.0,33.8,85419.0,2156.0,7825.0,1838.0,226.0,2801.0,22038.0,207.0,77007
101,ZCTA5 77008,2017,97690.0,34491.0,34.9,65444.0,2053.0,9621.0,1022.0,20.0,1985.0,21182.0,18.0,77008
102,ZCTA5 77009,2017,49383.0,37751.0,35.1,33167.0,9148.0,24343.0,2305.0,13.0,404.0,10129.0,58.0,77009
103,ZCTA5 77010,2017,250001.0,915.0,44.6,196722.0,61.0,24.0,64.0,0.0,80.0,747.0,0.0,77010
104,ZCTA5 77011,2017,30665.0,18598.0,34.0,13551.0,6352.0,17538.0,208.0,8.0,103.0,690.0,33.0,77011
105,ZCTA5 77012,2017,36537.0,20085.0,33.0,14721.0,4827.0,18907.0,457.0,0.0,227.0,494.0,0.0,77012
106,ZCTA5 77019,2017,112243.0,21572.0,39.4,96256.0,2138.0,2567.0,1632.0,20.0,1979.0,14980.0,166.0,77019
107,ZCTA5 77020,2017,27587.0,25898.0,33.0,14646.0,7899.0,19002.0,5832.0,28.0,68.0,769.0,48.0,77020
108,ZCTA5 77021,2017,35126.0,26654.0,33.6,21531.0,7643.0,3665.0,19579.0,30.0,774.0,2397.0,31.0,77021
109,ZCTA5 77023,2017,37462.0,28528.0,33.2,18438.0,7520.0,24492.0,836.0,27.0,240.0,2854.0,0.0,77023
110,ZCTA5 77025,2017,71990.0,28922.0,36.3,58892.0,2729.0,5294.0,3052.0,16.0,4893.0,14899.0,28.0,77025
111,ZCTA5 77026,2017,26644.0,22799.0,35.2,14026.0,8791.0,10088.0,11949.0,5.0,9.0,613.0,7.0,77026
112,ZCTA5 77027,2017,91296.0,16012.0,33.3,89183.0,1123.0,2459.0,526.0,16.0,1396.0,11284.0,22.0,77027
113,ZCTA5 77030,2017,75290.0,10813.0,33.9,63823.0,1699.0,994.0,466.0,0.0,2898.0,6008.0,21.0,77030
